Comment_id,Post id,Post_content,Parent_comment_id,Comment_date,Comment_text,Comment_author,Comment_author_id,Comment_likes,Comment_comments,Attachment,Group id,Group name
2341829636060808,1811481585762285_2341825656061206,9 year old wearing -2.25 single vision. She has 20 exo at near and 9 exo at distance. Poor positive fusion reserves. Lag of accom. Worth 4 dot sees 4 at distance and 5 shapes at 40cm Would you still consider Orthok? What’s the risk it might become intermittent XT?,,2019-04-07 08:14:28,Isn’t she already ixt at near ?,Unknown,0,0,9,,1811481585762285,Myopia Profile
2341829929394112,1811481585762285_2341825656061206,9 year old wearing -2.25 single vision. She has 20 exo at near and 9 exo at distance. Poor positive fusion reserves. Lag of accom. Worth 4 dot sees 4 at distance and 5 shapes at 40cm Would you still consider Orthok? What’s the risk it might become intermittent XT?,2341829636060808,2019-04-07 08:15:25,Kevin Trac I think she is but she isn’t complaining about symptomatic eyestrain or diplopia. Worried Orthok would tip the balance...,Unknown,0,0,0,,1811481585762285,Myopia Profile
2341830949394010,1811481585762285_2341825656061206,9 year old wearing -2.25 single vision. She has 20 exo at near and 9 exo at distance. Poor positive fusion reserves. Lag of accom. Worth 4 dot sees 4 at distance and 5 shapes at 40cm Would you still consider Orthok? What’s the risk it might become intermittent XT?,2341829636060808,2019-04-07 08:18:08,"Sounds like she’s suppressing at near then if no sx or switching eyes . We’ve had a few huge exos that we have done ok on but I guess if you reallly want to see if she’s symptomatic or not , you could trial a soft multi focal and see what that effect is first",Unknown,0,0,0,,1811481585762285,Myopia Profile
2341831769393928,1811481585762285_2341825656061206,9 year old wearing -2.25 single vision. She has 20 exo at near and 9 exo at distance. Poor positive fusion reserves. Lag of accom. Worth 4 dot sees 4 at distance and 5 shapes at 40cm Would you still consider Orthok? What’s the risk it might become intermittent XT?,2341829636060808,2019-04-07 08:19:53,near stereo was 50 with rx. I think she is just holding on at the moment... so not suppressing.,Unknown,0,0,0,,1811481585762285,Myopia Profile
2341837079393397,1811481585762285_2341825656061206,9 year old wearing -2.25 single vision. She has 20 exo at near and 9 exo at distance. Poor positive fusion reserves. Lag of accom. Worth 4 dot sees 4 at distance and 5 shapes at 40cm Would you still consider Orthok? What’s the risk it might become intermittent XT?,2341829636060808,2019-04-07 08:32:31,How does she find reading unaided ? Any stereo unaided at all ? To be honest I reckon you will push her over the edge,Unknown,0,0,0,,1811481585762285,Myopia Profile
2341838446059927,1811481585762285_2341825656061206,9 year old wearing -2.25 single vision. She has 20 exo at near and 9 exo at distance. Poor positive fusion reserves. Lag of accom. Worth 4 dot sees 4 at distance and 5 shapes at 40cm Would you still consider Orthok? What’s the risk it might become intermittent XT?,,2019-04-07 08:36:22,Have done a few high exos with OK combined with convergence exercises. They haven’t had any increase in symptoms. Maybe the overcorrection factor with OK helps slightly.,Unknown,0,0,0,,1811481585762285,Myopia Profile
2341841232726315,1811481585762285_2341825656061206,9 year old wearing -2.25 single vision. She has 20 exo at near and 9 exo at distance. Poor positive fusion reserves. Lag of accom. Worth 4 dot sees 4 at distance and 5 shapes at 40cm Would you still consider Orthok? What’s the risk it might become intermittent XT?,,2019-04-07 08:43:24,Personally myself is like 20exo or more at near. My rx is about -2.75. After using OK my phoria has improved to 2exo now. I’m quite impressed by it actually,Unknown,0,2,2,,1811481585762285,Myopia Profile
2341848322725606,1811481585762285_2341825656061206,9 year old wearing -2.25 single vision. She has 20 exo at near and 9 exo at distance. Poor positive fusion reserves. Lag of accom. Worth 4 dot sees 4 at distance and 5 shapes at 40cm Would you still consider Orthok? What’s the risk it might become intermittent XT?,,2019-04-07 09:02:08,Try a MiSight or NaturalVue as a rough simulant and assess binocular visual function through the contact lenses.,Unknown,0,5,1,,1811481585762285,Myopia Profile
2341848669392238,1811481585762285_2341825656061206,9 year old wearing -2.25 single vision. She has 20 exo at near and 9 exo at distance. Poor positive fusion reserves. Lag of accom. Worth 4 dot sees 4 at distance and 5 shapes at 40cm Would you still consider Orthok? What’s the risk it might become intermittent XT?,2341841232726315,2019-04-07 09:03:05,Johnny Wang really?? 😀 I’ve had a couple go worse ... so being cautious but happy to hear that you actually improved,Unknown,0,0,0,,1811481585762285,Myopia Profile
2341850666058705,1811481585762285_2341825656061206,9 year old wearing -2.25 single vision. She has 20 exo at near and 9 exo at distance. Poor positive fusion reserves. Lag of accom. Worth 4 dot sees 4 at distance and 5 shapes at 40cm Would you still consider Orthok? What’s the risk it might become intermittent XT?,2341841232726315,2019-04-07 09:09:27,I guess I’m not the norm. But I’m happy with that 🤣 I can get stereo now when I do volk on slit lamp,Unknown,0,1,0,,1811481585762285,Myopia Profile
